Date,Close,Volume,VIX,GDP,Unemployment,CPI,Interest_Rate
1990-01-02,359.69000244140625,162070000.0,17.239999771118164,5872.701,5.4,127.5,8.23
1990-01-03,358.760009765625,192330000.0,18.190000534057617,5872.701,5.4,127.5,8.23
1990-01-04,355.6700134277344,177000000.0,19.219999313354492,5872.701,5.4,127.5,8.23
1990-01-05,352.20001220703125,158530000.0,20.110000610351562,5872.701,5.4,127.5,8.23
1990-01-08,353.7900085449219,140110000.0,20.260000228881836,5872.701,5.4,127.5,8.23
1990-01-09,349.6199951171875,155210000.0,22.200000762939453,5872.701,5.4,127.5,8.23
1990-01-10,347.30999755859375,175990000.0,22.440000534057617,5872.701,5.4,127.5,8.23
1990-01-11,348.5299987792969,154390000.0,20.049999237060547,5872.701,5.4,127.5,8.23
1990-01-12,339.92999267578125,183880000.0,24.639999389648438,5872.701,5.4,127.5,8.23
1990-01-15,337.0,140590000.0,26.34000015258789,5872.701,5.4,127.5,8.23
1990-01-16,340.75,186070000.0,24.18000030517578,5872.701,5.4,127.5,8.23
1990-01-17,337.3999938964844,170470000.0,24.15999984741211,5872.701,5.4,127.5,8.23
1990-01-18,338.19000244140625,178590000.0,24.34000015258789,5872.701,5.4,127.5,8.23
1990-01-19,339.1499938964844,185590000.0,22.5,5872.701,5.4,127.5,8.23
1990-01-22,330.3800048828125,148380000.0,26.700000762939453,5872.701,5.4,127.5,8.23
1990-01-23,331.6099853515625,179300000.0,24.719999313354492,5872.701,5.4,127.5,8.23
1990-01-24,330.260009765625,207830000.0,25.389999389648438,5872.701,5.4,127.5,8.23
1990-01-25,326.0799865722656,172270000.0,25.6299991607666,5872.701,5.4,127.5,8.23
1990-01-26,325.79998779296875,198190000.0,26.280000686645508,5872.701,5.4,127.5,8.23
1990-01-29,325.20001220703125,150770000.0,26.440000534057617,5872.701,5.4,127.5,8.23
1990-01-30,322.9800109863281,186030000.0,27.25,5872.701,5.4,127.5,8.23
1990-01-31,329.0799865722656,189660000.0,25.360000610351562,5872.701,5.4,127.5,8.23
1990-02-01,328.7900085449219,154580000.0,24.8700008392334,5872.701,5.3,128.0,8.24
1990-02-02,330.9200134277344,164400000.0,24.31999969482422,5872.701,5.3,128.0,8.24
1990-02-05,331.8500061035156,130950000.0,24.540000915527344,5872.701,5.3,128.0,8.24
1990-02-06,329.6600036621094,134070000.0,24.690000534057617,5872.701,5.3,128.0,8.24
1990-02-07,333.75,186710000.0,24.290000915527344,5872.701,5.3,128.0,8.24
1990-02-08,332.9599914550781,176240000.0,23.770000457763672,5872.701,5.3,128.0,8.24
1990-02-09,333.6199951171875,146910000.0,23.690000534057617,5872.701,5.3,128.0,8.24
1990-02-12,330.0799865722656,118390000.0,24.3799991607666,5872.701,5.3,128.0,8.24
1990-02-13,331.0199890136719,144490000.0,23.760000228881836,5872.701,5.3,128.0,8.24
1990-02-14,332.010009765625,138530000.0,22.049999237060547,5872.701,5.3,128.0,8.24
1990-02-15,334.8900146484375,174620000.0,19.709999084472656,5872.701,5.3,128.0,8.24
1990-02-16,332.7200012207031,166840000.0,20.780000686645508,5872.701,5.3,128.0,8.24
1990-02-20,327.989990234375,147300000.0,22.780000686645508,5872.701,5.3,128.0,8.24
1990-02-21,327.6700134277344,159240000.0,23.889999389648438,5872.701,5.3,128.0,8.24
1990-02-22,325.70001220703125,184320000.0,22.540000915527344,5872.701,5.3,128.0,8.24
1990-02-23,324.1499938964844,148490000.0,23.690000534057617,5872.701,5.3,128.0,8.24
1990-02-26,328.6700134277344,148900000.0,23.559999465942383,5872.701,5.3,128.0,8.24
1990-02-27,330.260009765625,152590000.0,22.690000534057617,5872.701,5.3,128.0,8.24
1990-02-28,331.8900146484375,184400000.0,21.989999771118164,5872.701,5.3,128.0,8.24
1990-03-01,332.739990234375,157930000.0,21.899999618530273,5872.701,5.2,128.6,8.28
1990-03-02,335.5400085449219,164330000.0,21.34000015258789,5872.701,5.2,128.6,8.28
1990-03-05,333.739990234375,140110000.0,22.030000686645508,5872.701,5.2,128.6,8.28
1990-03-06,337.92999267578125,143640000.0,20.549999237060547,5872.701,5.2,128.6,8.28
1990-03-07,336.95001220703125,163580000.0,19.100000381469727,5872.701,5.2,128.6,8.28
1990-03-08,340.2699890136719,170900000.0,19.739999771118164,5872.701,5.2,128.6,8.28
1990-03-09,337.92999267578125,150410000.0,20.299999237060547,5872.701,5.2,128.6,8.28
1990-03-12,338.6700134277344,114790000.0,20.06999969482422,5872.701,5.2,128.6,8.28
1990-03-13,336.0,145440000.0,21.049999237060547,5872.701,5.2,128.6,8.28
1990-03-14,336.8699951171875,145060000.0,19.649999618530273,5872.701,5.2,128.6,8.28
1990-03-15,338.07000732421875,144410000.0,18.809999465942383,5872.701,5.2,128.6,8.28
1990-03-16,341.9100036621094,222520000.0,17.6200008392334,5872.701,5.2,128.6,8.28
1990-03-19,343.5299987792969,142300000.0,18.290000915527344,5872.701,5.2,128.6,8.28
1990-03-20,341.57000732421875,177320000.0,19.059999465942383,5872.701,5.2,128.6,8.28
1990-03-21,339.739990234375,130990000.0,20.100000381469727,5872.701,5.2,128.6,8.28
1990-03-22,335.69000244140625,175930000.0,22.739999771118164,5872.701,5.2,128.6,8.28
1990-03-23,337.2200012207031,132070000.0,20.459999084472656,5872.701,5.2,128.6,8.28
1990-03-26,337.6300048828125,116110000.0,19.59000015258789,5872.701,5.2,128.6,8.28
1990-03-27,341.5,131610000.0,21.010000228881836,5872.701,5.2,128.6,8.28
1990-03-28,342.0,142300000.0,19.770000457763672,5872.701,5.2,128.6,8.28
1990-03-29,340.7900085449219,132190000.0,18.459999084472656,5872.701,5.2,128.6,8.28
1990-03-30,339.94000244140625,139340000.0,19.729999542236328,5872.701,5.2,128.6,8.28
1990-04-01,339.94000244140625,139340000.0,19.729999542236328,5960.028,5.4,128.9,8.26
1990-04-02,338.70001220703125,124360000.0,22.84000015258789,5960.028,5.4,128.9,8.26
1990-04-03,343.6400146484375,154310000.0,20.440000534057617,5960.028,5.4,128.9,8.26
1990-04-04,341.0899963378906,159530000.0,22.030000686645508,5960.028,5.4,128.9,8.26
1990-04-05,340.7300109863281,144170000.0,21.209999084472656,5960.028,5.4,128.9,8.26
1990-04-06,340.0799865722656,137490000.0,21.760000228881836,5960.028,5.4,128.9,8.26
1990-04-09,341.3699951171875,114970000.0,22.299999237060547,5960.028,5.4,128.9,8.26
1990-04-10,342.07000732421875,136020000.0,21.690000534057617,5960.028,5.4,128.9,8.26
1990-04-11,341.9200134277344,141080000.0,17.729999542236328,5960.028,5.4,128.9,8.26
1990-04-12,344.3399963378906,142470000.0,19.799999237060547,5960.028,5.4,128.9,8.26
1990-04-16,344.739990234375,142810000.0,20.75,5960.028,5.4,128.9,8.26
1990-04-17,344.67999267578125,127990000.0,20.3799991607666,5960.028,5.4,128.9,8.26
1990-04-18,340.7200012207031,147130000.0,22.670000076293945,5960.028,5.4,128.9,8.26
1990-04-19,338.0899963378906,152930000.0,22.459999084472656,5960.028,5.4,128.9,8.26
1990-04-20,335.1199951171875,174260000.0,23.329999923706055,5960.028,5.4,128.9,8.26
1990-04-23,331.04998779296875,136150000.0,24.15999984741211,5960.028,5.4,128.9,8.26
1990-04-24,330.3599853515625,137360000.0,21.700000762939453,5960.028,5.4,128.9,8.26
1990-04-25,332.0299987792969,133480000.0,20.860000610351562,5960.028,5.4,128.9,8.26
1990-04-26,332.9200134277344,141330000.0,20.25,5960.028,5.4,128.9,8.26
1990-04-27,329.1099853515625,130630000.0,22.190000534057617,5960.028,5.4,128.9,8.26
1990-04-30,330.79998779296875,122750000.0,19.520000457763672,5960.028,5.4,128.9,8.26
1990-05-01,332.25,149020000.0,18.43000030517578,5960.028,5.4,129.1,8.18
1990-05-02,334.4800109863281,141610000.0,19.31999969482422,5960.028,5.4,129.1,8.18
1990-05-03,335.57000732421875,145560000.0,17.809999465942383,5960.028,5.4,129.1,8.18
1990-05-04,338.3900146484375,140550000.0,17.280000686645508,5960.028,5.4,129.1,8.18
1990-05-07,340.5299987792969,132760000.0,17.649999618530273,5960.028,5.4,129.1,8.18
1990-05-08,342.010009765625,144230000.0,18.489999771118164,5960.028,5.4,129.1,8.18
1990-05-09,342.8599853515625,152220000.0,18.639999389648438,5960.028,5.4,129.1,8.18
1990-05-10,343.82000732421875,158460000.0,18.59000015258789,5960.028,5.4,129.1,8.18
1990-05-11,352.0,234040000.0,19.809999465942383,5960.028,5.4,129.1,8.18
1990-05-14,354.75,225410000.0,20.139999389648438,5960.028,5.4,129.1,8.18
1990-05-15,354.2799987792969,165730000.0,19.489999771118164,5960.028,5.4,129.1,8.18
1990-05-16,354.0,159810000.0,17.709999084472656,5960.028,5.4,129.1,8.18
1990-05-17,354.4700012207031,164770000.0,17.270000457763672,5960.028,5.4,129.1,8.18
1990-05-18,354.6400146484375,162520000.0,17.200000762939453,5960.028,5.4,129.1,8.18
1990-05-21,358.0,166280000.0,16.719999313354492,5960.028,5.4,129.1,8.18
1990-05-22,358.42999267578125,203350000.0,17.84000015258789,5960.028,5.4,129.1,8.18
1990-05-23,359.2900085449219,172330000.0,17.18000030517578,5960.028,5.4,129.1,8.18
1990-05-24,358.4100036621094,155140000.0,17.700000762939453,5960.028,5.4,129.1,8.18
1990-05-25,354.5799865722656,120250000.0,17.31999969482422,5960.028,5.4,129.1,8.18
1990-05-29,360.6499938964844,137410000.0,18.75,5960.028,5.4,129.1,8.18
1990-05-30,360.8599853515625,199540000.0,17.440000534057617,5960.028,5.4,129.1,8.18
1990-05-31,361.2300109863281,165690000.0,17.3700008392334,5960.028,5.4,129.1,8.18
1990-06-01,363.1600036621094,187860000.0,17.09000015258789,5960.028,5.2,129.9,8.29
1990-06-04,367.3999938964844,175520000.0,18.389999389648438,5960.028,5.2,129.9,8.29
1990-06-05,366.6400146484375,199720000.0,18.969999313354492,5960.028,5.2,129.9,8.29
1990-06-06,364.9599914550781,164030000.0,17.420000076293945,5960.028,5.2,129.9,8.29
1990-06-07,363.1499938964844,160360000.0,16.8799991607666,5960.028,5.2,129.9,8.29
1990-06-08,358.7099914550781,142600000.0,17.579999923706055,5960.028,5.2,129.9,8.29
1990-06-11,361.6300048828125,119550000.0,16.34000015258789,5960.028,5.2,129.9,8.29
1990-06-12,366.25,157100000.0,16.600000381469727,5960.028,5.2,129.9,8.29
1990-06-13,364.8999938964844,158910000.0,17.3799991607666,5960.028,5.2,129.9,8.29
1990-06-14,362.8999938964844,135770000.0,17.399999618530273,5960.028,5.2,129.9,8.29
1990-06-15,362.9100036621094,205130000.0,15.899999618530273,5960.028,5.2,129.9,8.29
1990-06-18,356.8800048828125,133470000.0,17.709999084472656,5960.028,5.2,129.9,8.29
1990-06-19,358.4700012207031,134930000.0,15.229999542236328,5960.028,5.2,129.9,8.29
1990-06-20,359.1000061035156,137420000.0,15.270000457763672,5960.028,5.2,129.9,8.29
1990-06-21,360.4700012207031,138570000.0,14.720000267028809,5960.028,5.2,129.9,8.29
1990-06-22,355.42999267578125,172570000.0,19.360000610351562,5960.028,5.2,129.9,8.29
1990-06-25,352.30999755859375,133100000.0,17.059999465942383,5960.028,5.2,129.9,8.29
1990-06-26,352.05999755859375,141420000.0,16.290000915527344,5960.028,5.2,129.9,8.29
1990-06-27,355.1400146484375,146620000.0,16.0,5960.028,5.2,129.9,8.29
1990-06-28,357.6300048828125,136120000.0,16.18000030517578,5960.028,5.2,129.9,8.29
1990-06-29,358.0199890136719,145510000.0,15.5,5960.028,5.2,129.9,8.29
1990-07-01,358.0199890136719,145510000.0,15.5,6015.116,5.5,130.5,8.15
1990-07-02,359.5400085449219,130200000.0,16.260000228881836,6015.116,5.5,130.5,8.15
1990-07-03,360.1600036621094,130050000.0,16.110000610351562,6015.116,5.5,130.5,8.15
1990-07-05,355.67999267578125,128320000.0,17.25,6015.116,5.5,130.5,8.15
1990-07-06,358.4200134277344,111730000.0,16.40999984741211,6015.116,5.5,130.5,8.15
