Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,3.7167410850524902,3.6408889293670654,3.7167410850524902,974927.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,3.7167410850524902,3.6408889293670654,3.6788148880004883,98218.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,3.7167410850524902,3.6029629707336426,3.7167410850524902,104810.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,3.7167410850524902,3.6408889293670654,3.7167410850524902,37573.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,3.792593002319336,3.6408889293670654,3.792593002319336,126562.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,3.792593002319336,3.6788148880004883,3.7167410850524902,150293.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,3.754667043685913,3.6788148880004883,3.6788148880004883,86353.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,3.7167410850524902,3.6408889293670654,3.6408889293670654,87671.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,3.6788148880004883,3.6408889293670654,3.6408889293670654,29663.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,3.6788148880004883,3.5650370121002197,3.6788148880004883,135132.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,3.6029629707336426,3.489185094833374,3.489185094833374,56030.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,3.489185094833374,3.413332939147949,3.451258897781372,85034.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,3.413332939147949,3.299556016921997,3.3374810218811035,181274.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,3.299556016921997,3.1478519439697266,3.1857779026031494,514160.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,3.2237040996551514,3.1478519439697266,3.2237040996551514,282129.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,3.2237040996551514,3.034074068069458,3.034074068069458,198413.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,3.1478519439697266,3.1099259853363037,3.1099259853363037,75146.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,3.1099259853363037,2.996148109436035,3.072000026702881,253784.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,3.1478519439697266,3.0909628868103027,3.0909628868103027,300586.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,3.1478519439697266,2.996148109436035,2.996148109436035,133154.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,3.1099259853363037,3.034074068069458,3.034074068069458,108765.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,3.1099259853363037,3.034074068069458,3.034074068069458,16479.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,3.1099259853363037,3.034074068069458,3.072000026702881,324316.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,3.1478519439697266,3.072000026702881,3.1478519439697266,22412.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,3.1857779026031494,3.1099259853363037,3.1857779026031494,171387.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,3.2237040996551514,3.1099259853363037,3.1478519439697266,96899.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,3.299556016921997,3.1857779026031494,3.1857779026031494,161499.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,3.261630058288574,3.1668150424957275,3.261630058288574,94263.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,3.299556016921997,3.2237040996551514,3.261630058288574,278174.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,3.3374810218811035,3.261630058288574,3.3374810218811035,65259.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,3.3374810218811035,3.261630058288574,3.3374810218811035,7251.0,5872.701,5.3,128.0,8.24,3170.5
