t,o,h,l,c,v,c_oi,fundingRate,turnoverNumber,buyTurnoverNumber,sellTurnoverNumber,buyVolUsd,sellVolUsd,volUsd,puellMultiple,ma110,ma350Mu2,3LowBullHigh,2LowBullHigh,ma350,1.6AccumulationHigh,modelVariance,nextHalving,stockFlow365dAverage
2022-01-08 16:00:00,41600.72,41729.6,40500,40837.51,4115480439.2467,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8475311274539555,53908.72972972973,96506.17142857143,144759.25714285712,96506.17142857143,48253.08571428571,77204.93714285715,-0.1713874518824703,845,49841.24038400762
2022-01-08 20:00:00,40837.5,42335,40722.22,41688.05,2553354166.205,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8475311274539555,53908.72972972973,96506.17142857143,144759.25714285712,96506.17142857143,48253.08571428571,77204.93714285715,-0.1713874518824703,845,49841.24038400762
2022-01-09 00:00:00,41688.05,42168,41380,41835.6,1528404375.0987,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8475311274539555,53908.72972972973,96506.17142857143,144759.25714285712,96506.17142857143,48253.08571428571,77204.93714285715,-0.1713874518824703,845,49841.24038400762
2022-01-09 04:00:00,41835.6,42092.95,41666,41784.63,923086223.4729,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8475311274539555,53908.72972972973,96506.17142857143,144759.25714285712,96506.17142857143,48253.08571428571,77204.93714285715,-0.1713874518824703,845,49841.24038400762
2022-01-09 08:00:00,41784.62,42000,41400,41854.25,1457063863.91,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8475311274539555,53908.72972972973,96506.17142857143,144759.25714285712,96506.17142857143,48253.08571428571,77204.93714285715,-0.1713874518824703,845,49841.24038400762
2022-01-09 12:00:00,41854.26,41918,41170,41611.09,1693962120.702,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8475311274539555,53908.72972972973,96506.17142857143,144759.25714285712,96506.17142857143,48253.08571428571,77204.93714285715,-0.1713874518824703,845,49841.24038400762
2022-01-09 16:00:00,41611.09,42735,41550,42678.95,2285563879.1454,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8608540687868779,53921.17117117117,96561.29714285715,144841.9457142857,96561.29714285715,48280.64857142857,77249.03771428572,-0.17505973888017756,844,49880.458803307854
2022-01-09 20:00:00,42678.96,42773.85,41755,41851.22,1459452045.2111,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8608540687868779,53921.17117117117,96561.29714285715,144841.9457142857,96561.29714285715,48280.64857142857,77249.03771428572,-0.17505973888017756,844,49880.458803307854
2022-01-10 00:00:00,41851.22,42025,41572,41946.05,1215136681.726,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8608540687868779,53921.17117117117,96561.29714285715,144841.9457142857,96561.29714285715,48280.64857142857,77249.03771428572,-0.17505973888017756,844,49880.458803307854
2022-01-10 04:00:00,41946.05,42219.84,41801.63,42034.99,1146906071.5282,107243.61,0.010598,17.0,7.0,10.0,59195.94396,28177.42038,87373.36434,0.8608540687868779,53921.17117117117,96561.29714285715,144841.9457142857,96561.29714285715,48280.64857142857,77249.03771428572,-0.17505973888017756,844,49880.458803307854
