o_x,h_x,l_x,c_x,t,o_y,h_y,l_y,c_y,o,h,l,c,longLiquidationUsd_x,shortLiquidationUsd_x,longLiquidationUsd_y,shortLiquidationUsd_y,longAccount_x,shortAccount_x,longShortRadio_x,longAccount_y,shortAccount_y,longShortRadio_y,longAccount,shortAccount,longShortRadio_x,longShortRadio_y,buy,sell,price_x,index,googleTrend,difficulty,transcations,sentByAddress,tweets,avg,ahr999,value,puellMultiple,modelVariance,nextHalving,stockFlow365dAverage,ma110,ma350Mu2,3LowBullHigh,x8,2LowBullHigh,price_y,ma350,1.6AccumulationHigh,x21,x13,x5,BTC price,Model price,Fire sale,Buy,Accumulate,Still cheap,Hold,Is this a bubble?,FOMO intensifies,"Sell. Seriously, sell",Maximum bubble territory,values,prices
957104.17,1032205.52,893326.43,1003798.43,2021-06-07,0.01,0.01,0.01,0.01,0.01148211,0.02840659,0.00936224,0.01567708,101593.4266,221978.8655,203411.265,353610.0586,61.09,38.91,1.57,58.59,41.41,1.415,49.7,50.3,0.988,0.973230069609,3094534,8452924,35888.0,77.28128907,148.63,21047730572452.0,235346,439958,172116,39069.4589,1.485841504633594,35888,1.1737737772115782,-0.3478649376973255,1061,47392.05962131992,51609.882882882885,57671.33165714285,86506.99748571428,1542.4610285714286,57671.33165714285,33468.0,28835.665828571426,46137.065325714284,56.648812500000005,293.28445714285715,25639.926285714286,33468.0,9218.570748,12285.230483,16698.068495,22923.105982,30946.193106,41777.360693,57395.994098,79028.194488,106092.032629,144316.31235,17.0,35542.5
1011034.23,1011034.23,877099.62,945532.57,2021-06-08,0.01,0.01,-0.01345,-0.008767,0.01199342,0.02333762,-0.01222736,-0.00706951,749901.8575,1070006.4296,1509031.3259,1980317.6632,60.32,39.68,1.52,61.79,38.21,1.617,50.76,49.24,1.031,1.000887824878,10469726,10502906,32877.0,83.51936935,208.864,21047730572452.0,246757,471786,187281,39183.8292,1.2417381430821137,32877,1.2260205454253623,-0.34796751396272363,1060,47426.66108223788,51439.92792792793,57807.699199999995,86711.54879999999,1542.4610285714286,57807.699199999995,33489.0,28903.849599999998,46246.15936,56.648812500000005,293.28445714285715,25639.926285714286,33489.0,9231.041531,12301.84981,16720.657461,22954.116111,30988.056781,41833.876655,57473.638778,79135.102975,106235.552783,144511.541896,15.0,36139.5
946681.71,1101845.75,859192.74,1078293.23,2021-06-09,-0.001914,0.01,-0.01904,0.01,-0.00612069,0.02442811,-0.00612069,0.01712367,692010.7421,514088.5201,1254537.9036,752593.2453,60.43,39.57,1.527,57.21,42.79,1.337,49.46,50.54,0.979,1.002522430476,12584418,12526142,34833.0,88.52625728,188.982,21047730572452.0,210785,423177,297825,39305.8257,1.3877737064243987,34833,1.035567010219157,-0.2383661440889675,1059,47533.097466556115,51311.32432432433,57968.608400000005,86952.91260000001,1542.4610285714286,57968.608400000005,37452.0,28984.304200000002,46374.88672000001,56.648812500000005,293.28445714285715,25639.926285714286,37452.0,9243.526428,12318.487947,16743.271994,22985.161339,31029.967838,41890.456582,57551.371337,79242.132462,106379.235374,144706.992405,13.0,33900.5
1021386.63,1039995.59,956873.98,956873.98,2021-06-10,0.01,0.01,0.01,0.01,0.01246052,0.02976734,0.00825399,0.02618084,190893.0423,370179.952,303272.1379,656208.5173,54.07,45.93,1.177,51.92,48.08,1.08,49.08,50.92,0.964,0.956432334035,6937184,7105933,36990.0,81.42813896,165.833,21047730572452.0,252865,510219,192780,39442.9907,1.5575215154507291,36990,1.082530365469262,-0.2627486035651394,1058,47717.93634468351,51136.62162162162,58125.62188571429,87188.43282857143,1542.4610285714286,58125.62188571429,36692.0,29062.810942857144,46500.49750857143,56.648812500000005,293.28445714285715,25639.926285714286,36692.0,9256.025453,12335.14491,16765.912117,23016.241696,31071.92632,41947.100532,57629.191855,79349.283059,106523.080552,144902.664078,14.0,33015.5
949701.22,949701.22,867674.58,898866.43,2021-06-11,0.01,0.01,0.01,0.01,0.01621124,0.02263455,0.00405567,0.00405567,57813.2411,660057.5405,335601.7871,1749885.4534,56.94,43.06,1.322,56.01,43.99,1.273,50.31,49.69,1.012,0.890056544946,6578154,6837906,36990.0,75.9713585,135.713,21047730572452.0,216397,444572,145724,39580.4947,1.5501160237511127,36990,0.942441303179098,-0.25040384540816696,1057,47878.811090430776,50968.576576576575,58286.255142857146,87429.38271428572,1542.4610285714286,58286.255142857146,37273.0,29143.127571428573,46629.00411428572,56.648812500000005,293.28445714285715,25639.926285714286,37273.0,9268.538618,12351.820719,16788.577852,23047.357214,31113.93227,42003.808565,57707.100412,79456.554876,106667.088463,145098.557117,21.0,37006.5
906955.76,926025.55,845014.73,847047.3,2021-06-12,0.01,0.01,0.01,0.01,0.01631358,0.01631358,-0.0046048,0.01061488,255052.3049,416370.704,504155.5507,1105545.0232,64.44,35.56,1.812,63.43,36.57,1.734,49.78,50.22,0.991,1.003079101009,7301566,7297965,35728.0,71.05906007,121.405,21047730572452.0,222642,405772,133446,39707.2615,1.439679739265537,35728,1.2008045266295664,-0.29652317386727844,1056,47954.09839037731,50775.64864864865,58438.36491428571,87657.54737142856,1542.4610285714286,58438.36491428571,35649.0,29219.182457142855,46750.69193142857,56.648812500000005,293.28445714285715,25639.926285714286,35649.0,9281.065936,12368.515388,16811.269224,23078.507926,31155.985732,42060.580738,57785.097089,79563.948025,106811.259255,145294.671722,21.0,36997.0
841302.06,879623.15,815239.64,879623.15,2021-06-13,0.01,0.01,0.01,0.01,0.00145924,0.01775739,0.00145924,0.01775739,375805.8924,438291.9932,693367.581,671173.9888,67.59,32.41,2.085,62.78,37.22,1.687,49.35,50.65,0.974,1.014592949575,5785152,5723036,36366.0,77.22144918,126.118,20836567779802.0,186966,330944,149747,39835.6899,1.4848374789850733,36366,1.1460257651550243,-0.20509758953685697,1055,48062.296441699946,50639.126126126124,58609.89645714286,87914.84468571428,1542.4610285714286,58609.89645714286,39150.0,29304.94822857143,46887.91716571429,56.648812500000005,293.28445714285715,25639.926285714286,39150.0,9293.607421,12385.228936,16833.986256,23109.693864,31198.086747,42117.417109,57863.181965,79671.462615,106955.593078,145491.008097,28.0,37220.0
886422.95,889471.84,792353.89,873063.75,2021-06-14,0.01,0.01,0.01,0.01,0.01246981,0.025777,0.00230328,0.01494526,165450.4805,243583.8296,311520.8738,314134.0086,70.67,29.33,2.409,65.09,34.91,1.865,49.49,50.51,0.98,0.988054471814,5614133,5830776,39660.0,89.64609129,160.737,19932791027263.0,242281,428199,173293,40000.0342,1.7564959554971453,39660,1.28402938671936,-0.16808691103182838,1054,48075.17312823367,50564.117117117115,58789.5724,88184.35859999999,1542.4610285714286,58789.5724,40637.0,29394.7862,47031.65792,56.648812500000005,293.28445714285715,25639.926285714286,40637.0,9306.163084,12401.96138,16856.72897,23140.915059,31240.235361,42174.317738,57941.355121,79779.098757,107100.090079,145687.566441,23.0,35474.0
877371.49,877371.49,764024.95,793151,2021-06-15,0.01,0.01,0.01,0.01,0.01494526,0.02583335,0.00484914,0.01253234,148860.3481,210551.9229,314969.8316,285278.8692,71.78,28.22,2.544,66.85,33.15,2.017,48.97,51.03,0.96,0.929823493401,5187678,5600545,40204.0,83.19637841,132.192,19932791027263.0,241730,443257,139190,40172.615,1.7949507901022874,40204,1.2898461398039303,-0.1759772290087973,1053,48131.6662192076,50478.67567567567,58968.00377142857,88452.00565714286,1542.4610285714286,58968.00377142857,40365.0,29484.001885714286,47174.40301714286,56.648812500000005,293.28445714285715,25639.926285714286,40365.0,9318.732939,12418.712736,16879.497391,23172.171544,31282.431616,42231.282682,58019.616637,79886.856562,107244.750407,145884.346959,28.0,38928.5
796811.55,820000.87,761457.52,820000.87,2021-06-16,0.01,0.01,0.01,0.01,0.0151791,0.02589668,-0.00941069,-0.00941069,273204.1171,575245.2136,427626.358,1104050.2242,70.37,29.63,2.375,67.33,32.67,2.061,49.29,50.71,0.972,0.958933962565,6914138,7291738,39423.0,78.06352062,120.196,19932791027263.0,252814,442342,116771,40338.2091,1.7165995495689441,39423,1.2001423492704022,-0.22640782483337496,1052,48177.00653110617,50401.90990990991,59134.69011428571,88702.03517142856,1542.4610285714286,59134.69011428571,38416.0,29567.345057142855,47307.75209142857,56.648812500000005,293.28445714285715,25639.926285714286,38416.0,9331.316999,12435.483023,16902.291542,23203.463351,31324.675555,42288.312,58097.966594,79994.73614,107389.57421,146081.349851,38.0,40687.5
