o_x,h_x,l_x,c_x,t,o_y,h_y,l_y,c_y,o,h,l,c,longLiquidationUsd_x,shortLiquidationUsd_x,longLiquidationUsd_y,shortLiquidationUsd_y,longAccount_x,shortAccount_x,longShortRadio_x,longAccount_y,shortAccount_y,longShortRadio_y,longAccount,shortAccount,longShortRadio_x,longShortRadio_y,buy,sell,price_x,index,googleTrend,difficulty,transcations,sentByAddress,tweets,avg,ahr999,value,puellMultiple,modelVariance,nextHalving,stockFlow365dAverage,ma110,ma350Mu2,3LowBullHigh,x8,2LowBullHigh,price_y,ma350,1.6AccumulationHigh,x21,x13,x5,BTC price,Model price,Fire sale,Buy,Accumulate,Still cheap,Hold,Is this a bubble?,FOMO intensifies,"Sell. Seriously, sell",Maximum bubble territory,values,prices
837488.22,917495.57,830507.26,848382.9,2021-06-17,0.01,0.01,0.0071,0.01,0.00603135,0.0163873,-0.00788719,0.00706112,58227.4436,326997.7529,84946.6738,468272.689,71.45,28.55,2.503,67.87,32.13,2.112,49.11,50.89,0.965,0.925211278105,4746771,5443334,38607.0,76.10087011,110.871,19932791027263.0,237595,416213,122733,40492.4733,1.6378960786418746,38607,1.2042625366758075,-0.23192538374007654,1051,48162.351974489546,50326.61261261261,59301.013028571426,88951.51954285713,1542.4610285714286,59301.013028571426,38193.0,29650.506514285713,47440.81042285715,56.648812500000005,293.28445714285715,25639.926285714286,38193.0,9343.915276,12452.272257,16925.111446,23234.790512,31366.967222,42345.40575,58176.405072,80102.737602,107534.561638,146278.57532,33.0,40069.0
863299.25,896234.41,839608.45,887895.92,2021-06-18,0.01,0.01,0.01,0.01,0.00810101,0.01300207,2.469e-05,2.469e-05,90395.9547,798964.1762,296777.4813,1477265.8268,72.4,27.6,2.623,68.1,31.9,2.135,49.39,50.61,0.976,0.874624454744,4838747,5393255,37005.0,74.73506463,113.67,19932791027263.0,222794,393441,125163,40628.7133,1.497816732233142,37005,1.1393226653068151,-0.29729697632940066,1050,48218.73009098921,50232.873873873876,59453.8508,89180.7762,1542.4610285714286,59453.8508,35818.0,29726.9254,47563.08064,56.648812500000005,293.28445714285715,25639.926285714286,35818.0,9356.527784,12469.080456,16947.957127,23266.153059,31409.306661,42402.563992,58254.932151,80210.861059,107679.712839,146476.023568,26.0,38453.5
924956.85,948220.79,881939.62,948220.79,2021-06-19,0.01,0.01,0.00525,0.008542,2.469e-05,0.00992747,-0.00246126,0.00272159,61438.5081,252834.136,103480.9537,345563.8008,71.61,28.39,2.522,68.51,31.49,2.176,49.83,50.17,0.993,0.993497392021,3873395,3824314,35757.0,70.80732342,99.747,19932791027263.0,186939,336784,98521,40754.4268,1.3923897050326322,35757,0.8861510557513775,-0.309491955622617,1049,48315.68467320394,50130.67567567567,59604.26274285714,89406.39411428571,1542.4610285714286,59604.26274285714,35455.0,29802.13137142857,47683.410194285716,56.648812500000005,293.28445714285715,25639.926285714286,35455.0,9369.154536,12485.907636,16970.828607,23297.551024,31451.693914,42459.786784,58333.547912,80319.106622,107825.027961,146673.694799,25.0,38091.0
950429.85,1052685.18,950429.85,1044867.74,2021-06-20,0.005345,0.01,-0.027046,0.01,0.00102369,0.00144834,-0.01991908,0.00062782,253766.4866,790624.273,790417.5655,2904604.5431,74.31,25.69,2.893,69.45,30.55,2.273,49.42,50.58,0.977,0.902547491281,6305123,6713539,35080.0,73.82756758,114.277,19932791027263.0,167144,308785,100940,40880.0978,1.3343302253783222,35080,0.892766025058046,-0.3027492849847153,1048,48432.269232783125,50002.17117117117,59756.81325714286,89635.2198857143,1542.4610285714286,59756.81325714286,35781.0,29878.40662857143,47805.450605714286,56.648812500000005,293.28445714285715,25639.926285714286,35781.0,9381.795544,12502.753815,16993.725911,23328.98444,31494.129025,42517.074184,58412.252436,80427.474401,107970.507154,146871.589213,23.0,35819.5
999330.16,1062536.44,999330.16,1050369.76,2021-06-21,0.01,0.01,-0.036328,-0.008275,0.00062782,0.00062782,-0.03053985,-0.02872208,298965.4564,1926506.2496,1495129.7633,3919148.251,75.3,24.7,3.049,69.58,30.42,2.287,48.7,51.3,0.949,0.912570991372,10914967,11560810,33176.0,79.61197034,165.516,19932791027263.0,204945,384401,153833,40991.1886,1.1886565113541148,33176,0.8995624265584248,-0.41289717724341557,1047,48540.92220998831,49854.32432432433,59887.0232,89830.53480000001,1542.4610285714286,59887.0232,32121.0,29943.5116,47909.61856,56.648812500000005,293.28445714285715,25639.926285714286,32121.0,9394.450821,12519.619011,17016.649062,23360.453338,31536.612038,42574.426252,58491.045803,80535.964508,108116.150568,147069.707015,21.0,35260.0
1038116.38,1175965.63,1008683.81,1136677.29,2021-06-22,-0.015969,0.01,-0.093391,-0.001448,-0.0235704,0.00456593,-0.0597434,-0.01462627,1715008.0635,2304306.8987,5080699.9502,4952843.2764,74.3,25.7,2.891,71.62,28.38,2.524,49.16,50.84,0.967,0.975597210747,21189512,21104440,32011.0,87.96187165,217.752,19932791027263.0,196432,385925,153834,41096.8081,1.1023819990844048,32011,0.6991431716687172,-0.4240016745813566,1046,48729.96582799757,49689.35135135135,60016.37388571428,90024.56082857143,1542.4610285714286,60016.37388571428,31890.0,30008.18694285714,48013.09910857143,56.648812500000005,293.28445714285715,25639.926285714286,31890.0,9407.120381,12536.503241,17039.598084,23391.957752,31579.142996,42631.843045,58569.928095,80644.577054,108261.95835,147268.048408,23.0,35270.0
1114337.51,1370286.62,1105229.95,1216631,2021-06-23,0.003481,0.003481,-0.066644,-0.023705,-0.00803837,-0.00097276,-0.04159873,-0.02496656,1091752.0577,770112.4822,1599318.2145,1139382.8138,67.18,32.82,2.047,63.29,36.71,1.724,49.17,50.83,0.967,1.021252369228,11030691,11069474,33745.0,76.14982008,156.49,19932791027263.0,232603,419947,125027,41215.0064,1.219967385082639,33745,0.7695385717262242,-0.3721668834658409,1045,48839.357217439756,49560.423423423425,60154.99428571429,90232.49142857143,1542.4610285714286,60154.99428571429,33662.0,30077.497142857144,48123.995428571434,56.648812500000005,293.28445714285715,25639.926285714286,33662.0,9419.804236,12553.406521,17062.572999,23423.497712,31621.721943,42689.324623,58648.899391,80753.31215,108407.930651,147466.613593,10.0,31297.0
1238381.78,1248263.56,1123081.36,1193136.05,2021-06-24,-0.040081,-0.001205,-0.05071,-0.011969,-0.03008181,0.01110938,-0.03523991,0.00316024,338767.2555,356001.443,522063.7839,466338.0794,64.92,35.08,1.851,61.05,38.95,1.567,48.93,51.07,0.958,0.99442992773,10813136,10582887,33747.0,70.73122175,132.941,19932791027263.0,233173,411788,105656,41331.9209,1.2151016382191753,33747,0.8432564886158536,-0.34205783712701887,1044,48943.617419435366,49431.35135135135,60300.8724,90451.3086,1542.4610285714286,60300.8724,34765.0,30150.4362,48240.697920000006,56.648812500000005,293.28445714285715,25639.926285714286,34765.0,9432.5024,12570.328869,17085.573832,23455.073252,31664.348922,42746.871045,58727.959772,80862.169908,108554.067619,147665.402776,14.0,31806.0
1186784.78,1202630.15,1106284.13,1145572.26,2021-06-25,-0.000977,0.01,-0.002677,-0.000861,0.00512851,0.01305127,-0.00545763,-0.00545763,211335.86,561577.2456,559438.5208,1299937.3486,62.46,37.54,1.664,60.63,39.37,1.54,49.5,50.5,0.98,0.99151060653,10631987,10505811,33376.0,73.66299324,136.265,19932791027263.0,218135,391933,154086,41446.2711,1.18373424559721,33376,0.910861550916056,-0.4440072811283624,1043,49098.87313855849,49272.045045045044,60427.799485714284,90641.69922857142,1542.4610285714286,60427.799485714284,31495.0,30213.899742857142,48342.23958857143,56.648812500000005,293.28445714285715,25639.926285714286,31495.0,9445.214885,12587.270303,17108.600606,23486.684404,31707.023977,42804.482369,58807.10932,80971.150439,108700.369405,147864.416158,22.0,33624.0
1142066.65,1234831.53,1132954.85,1234831.53,2021-06-26,0.001521,0.002444,-0.044183,-0.008233,-0.0010269,0.00348895,-0.0261734,-0.00151121,324937.8279,493460.3632,527927.4411,770975.8711,64.9,35.1,1.849,62.0,38.0,1.632,49.23,50.77,0.97,1.019955687048,11249725,11174428,31488.0,67.62573756,122.604,19932791027263.0,181539,324459,105096,41551.5826,1.0495836495020459,31488,0.6670879652137841,-0.4124539661494193,1042,49239.931144339214,49103.44144144144,60561.189371428576,90841.78405714287,1542.4610285714286,60561.189371428576,32598.0,30280.594685714288,48448.951497142865,56.648812500000005,293.28445714285715,25639.926285714286,32598.0,9457.941704,12604.23084,17131.653344,23518.3312,31749.747151,42862.158654,58886.348116,81080.253853,108846.836158,148063.653944,27.0,34904.5
1237132.92,1249005.02,1036699.7,1036699.7,2021-06-27,-0.010655,0.01,-0.034309,0.01,-0.00735495,0.00729794,-0.0207801,0.0055199,704913.8086,125282.5282,894684.4435,271929.7879,66.09,33.91,1.949,62.82,37.18,1.69,49.52,50.48,0.981,1.010645144578,8733086,8231250,33067.0,74.82821276,120.708,19932791027263.0,121480,255643,122259,41674.9891,1.1525826090382305,33067,0.4497727327993155,-0.3567219548820777,1041,49502.327096394605,48942.747747747744,60706.01462857143,91059.02194285714,1542.4610285714286,60706.01462857143,34650.0,30353.007314285715,48564.81170285714,56.648812500000005,293.28445714285715,25639.926285714286,34650.0,9470.68287,12621.210497,17154.732071,23550.013672,31792.518489,42919.89996,58965.67624,81189.480264,108993.468028,148263.116337,20.0,31796.5
1014324.16,1014324.16,914972.33,914972.33,2021-06-28,0.01,0.01,0.01,0.01,0.00264234,0.01221919,-0.00174873,0.01109334,278618.7122,192584.7701,457487.5093,273666.3491,63.01,36.99,1.703,59.25,40.75,1.454,49.66,50.34,0.986,1.00082874406,6921964,6557613,34472.0,71.11490174,122.94,19932791027263.0,220912,425476,128407,41806.991,1.2470550709831156,34472,0.7245705085769705,-0.36225278857324206,1040,49667.6960585597,48759.05405405405,60850.827142857146,91276.24071428573,1542.4610285714286,60850.827142857146,34574.0,30425.413571428573,48680.66171428572,56.648812500000005,293.28445714285715,25639.926285714286,34574.0,9483.438397,12638.209291,17177.836809,23581.731853,31835.338034,42977.706346,59045.093774,81298.829782,109140.265164,148462.80354,22.0,32400.0
904526.32,970828.03,873661,874363.08,2021-06-29,0.01,0.01,-0.004802,0.01,0.00960954,0.01684582,-0.00199915,0.0094602,181175.3377,205614.5489,311145.0791,300684.8792,63.23,36.77,1.72,61.36,38.64,1.588,49.69,50.31,0.988,0.982972999632,6399846,6589308,35544.0,73.06016295,120.518,19932791027263.0,205526,411674,120506,41950.0673,1.319608964325115,35544,0.7385531764164656,-0.3294349431498631,1039,49833.867575591044,48576.93693693694,61002.826799999995,91504.2402,1542.4610285714286,61002.826799999995,35847.0,30501.413399999998,48802.26144,56.648812500000005,293.28445714285715,25639.926285714286,35847.0,9496.208298,12655.227241,17200.967583,23613.485776,31878.205829,43035.577869,59124.600798,81408.302519,109287.227717,148662.715759,25.0,34521.0
860698.22,925878.84,852364.17,925878.84,2021-06-30,0.01,0.01,0.01,0.01,0.0105744,0.01855202,0.00014237,0.01084884,379993.2193,402962.6896,564647.801,661158.4087,68.64,31.36,2.189,65.89,34.11,1.932,49.75,50.25,0.99,0.945837864828,6241935,6771044,34930.0,68.91319063,109.874,19932791027263.0,215216,416484,110739,42083.9102,1.268733080991071,34930,0.7478529583429009,-0.3577818529659247,1038,50049.65547944391,48370.59459459459,61150.23662857143,91725.35494285714,1542.4610285714286,61150.23662857143,34996.0,30575.118314285715,48920.18930285715,56.648812500000005,293.28445714285715,25639.926285714286,34996.0,9508.992585,12672.264362,17224.124415,23645.275472,31921.121919,43093.51459,59204.197394,81517.898586,109434.355836,148862.853197,25.0,34586.0
930309.24,932619.58,882954.77,899578.2,2021-07-01,0.008957,0.01,0.008957,0.01,0.00518358,0.01914673,0.00518358,0.01216455,129040.1823,421015.3717,249932.3403,596264.5754,64.87,35.13,1.847,64.73,35.27,1.835,49.99,50.01,1.0,1.019475507358,8032051,7965650,33731.0,63.25375331,100.573,19932791027263.0,233587,461838,110932,42203.5645,1.1782635954389487,33731,0.7955008710665429,-0.40259532874349624,1037,50249.587653593386,48158.252252252256,61290.032685714286,91935.04902857143,1542.4610285714286,61290.032685714286,33596.0,30645.016342857143,49032.02614857143,56.648812500000005,293.28445714285715,25639.926285714286,33596.0,9521.791271,12689.320673,17247.30733,23677.100974,31964.086346,43151.516568,59283.883642,81627.618097,109581.649671,149063.216058,28.0,35880.0
879557.64,887123.04,800987.53,857210.89,2021-07-02,0.01,0.01,0.01,0.01,0.00262943,0.02750003,0.00175136,0.01833797,180275.7912,279213.8105,263603.9337,436525.6475,67.15,32.85,2.044,68.22,31.78,2.147,49.86,50.14,0.994,0.932744654678,6195477,6527516,33285.0,63.7204765,95.593,19932791027263.0,188478,392516,101685,42320.1896,1.142685666870119,33285,0.7152479856446542,-0.4000487576541385,1036,50464.922713677006,47911.63963963964,61430.96234285714,92146.44351428571,1542.4610285714286,61430.96234285714,33826.0,30715.48117142857,49144.76987428572,56.648812500000005,293.28445714285715,25639.926285714286,33826.0,9534.60437,12706.396191,17270.516351,23708.962314,32007.099156,43209.583861,59363.659626,81737.461162,109729.109373,149263.804546,28.0,34811.0
843497.65,888978.4,815106.13,879243.87,2021-07-03,0.01,0.01,0.01,0.01,0.02109683,0.02682841,0.01331187,0.02015408,160065.0724,59970.402,212553.5624,106726.74,64.25,35.75,1.797,62.82,37.18,1.69,49.89,50.11,0.996,1.052200743468,4572173,4774278,34298.0,75.79558186,93.865,15634861856766.0,237336,412124,92900,42441.4495,1.2082835746771132,34298,1.0143536385967937,-0.37374370588615413,1035,50557.05186613357,47692.31531531532,61577.317428571434,92365.97614285715,1542.4610285714286,61577.317428571434,34791.0,30788.658714285717,49261.85394285715,56.648812500000005,293.28445714285715,25639.926285714286,34791.0,9547.431894,12723.490934,17293.751501,23740.859526,32050.160392,43267.716529,59443.525424,81847.427893,109876.735093,149464.618866,21.0,33838.0
872308.25,899868.78,852850,893014.19,2021-07-04,0.01,0.01,0.01,0.01,0.02175688,0.02539805,0.01405232,0.01557911,80642.572,169521.0008,87490.7096,307797.8898,59.08,40.92,1.444,59.66,40.34,1.479,50.04,49.96,1.002,0.966184677587,3065428,3071619,35271.0,88.91546669,93.621,14363025673660.0,171735,329197,85810,42561.406,1.272580936604935,35271,0.94314061013237,-0.35941692240478673,1034,50701.689659226424,47507.92792792793,61726.982457142854,92590.47368571429,1542.4610285714286,61726.982457142854,35394.0,30863.491228571427,49381.58596571429,56.648812500000005,293.28445714285715,25639.926285714286,35394.0,9560.273857,12740.604918,17317.012806,23772.792641,32093.270097,43325.914631,59523.48112,81957.518403,110024.526979,149665.659223,24.0,33672.5
882069.62,957247.6,879385.74,920947.15,2021-07-05,0.01,0.01,0.01,0.01,0.02389065,0.02389065,0.00929276,0.01336774,48665.0312,429290.1116,87403.8697,792949.8291,68.17,31.83,2.142,64.55,35.45,1.821,49.39,50.61,0.976,0.953903233204,3193019,3713475,34100.0,81.62148069,96.809,14363025673660.0,223628,394868,88486,42649.0526,1.1855221476593145,34100,1.0990648550424638,-0.40373463633052253,1033,50771.066041421174,47298.6036036036,61868.369028571426,92802.55354285715,1542.4610285714286,61868.369028571426,33906.0,30934.184514285713,49494.695222857146,56.648812500000005,293.28445714285715,25639.926285714286,33906.0,9573.130272,12757.738162,17340.300287,23804.761692,32136.428316,43384.178227,59603.526794,82067.732804,110172.485184,149866.925821,27.0,34579.5
912107.57,912107.57,830514.9,852268.81,2021-07-06,0.01,0.01,0.01,0.01,0.01534486,0.02145995,0.00726169,0.00990772,100672.7775,192096.1987,142490.4138,244348.8192,70.73,29.27,2.416,70.0,30.0,2.333,49.55,50.45,0.982,0.983299672576,3684432,3807291,34153.0,79.93351316,93.197,14363025673660.0,228137,427151,95429,42734.6176,1.1853122870098047,34153,1.1301332352595759,-0.39282903389083046,1032,50832.10639300152,47072.792792792796,62010.90502857143,93016.35754285715,1542.4610285714286,62010.90502857143,34319.0,31005.452514285716,49608.724022857146,56.648812500000005,293.28445714285715,25639.926285714286,34319.0,9586.001152,12774.890682,17363.613969,23836.766712,32179.635093,43442.507375,59683.662528,82178.071208,110320.609858,150068.418866,29.0,34903.0
834710.76,1073497.95,821529.77,980195.15,2021-07-07,0.01,0.01,0.01,0.01,0.01151827,0.02446786,0.0051733,0.01384043,420816.7739,162729.2838,681564.5309,244311.3903,70.73,29.27,2.416,70.0,30.0,2.333,49.55,50.45,0.982,1.007427347282,4370070,4350792,34557.0,80.97537177,87.59,14363025673660.0,221104,423969,111493,42818.5449,1.209594392539982,34557,0.9891130109405455,-0.4073239963231501,1031,50919.06492966873,46859.28828828829,62150.137657142855,93225.20648571428,1542.4610285714286,62150.137657142855,33883.0,31075.068828571428,49720.11012571429,56.648812500000005,293.28445714285715,25639.926285714286,33883.0,9598.886509,12792.062497,17386.953876,23868.807732,32222.890471,43500.902136,59763.888403,82288.533726,110468.901151,150270.138562,20.0,33931.0
972813.6,972813.6,827496.57,827496.57,2021-07-08,0.01,0.01,0.01,0.01,0.02029269,0.02029269,0.00764172,0.01717191,179504.2336,595310.1799,546195.9576,1205428.8428,60.19,39.81,1.512,60.04,39.96,1.503,50.04,49.96,1.002,0.915291037637,6399442,6745924,32896.0,77.7854033,95.419,14363025673660.0,230580,430843,108695,42889.7597,1.0928914047156046,32896,1.101235737615408,-0.43727972923374203,1030,50997.94246207206,46630.85585585586,62283.564857142854,93425.34728571428,1542.4610285714286,62283.564857142854,32934.0,31141.782428571427,49826.851885714284,56.648812500000005,293.28445714285715,25639.926285714286,32934.0,9611.786358,12809.253623,17410.320032,23900.884787,32266.194495,43559.362568,59844.204501,82399.120473,110617.359214,150472.085115,28.0,34250.0
832372.19,861462.34,812654.41,850713.99,2021-07-09,0.01,0.01,0.005293,0.005293,0.01485707,0.01485707,0.00491165,0.00816118,76245.5785,156947.8118,161975.857,415362.2408,72.82,27.18,2.679,72.08,27.92,2.582,50.1,49.9,1.004,1.082527495317,4067466,4296917,33163.0,76.67503753,88.519,14363025673660.0,227380,430067,98121,42965.9198,1.1073193785010835,33163,1.006998551923563,-0.408817370093173,1029,51091.48529002863,46413.06306306306,62423.05662857143,93634.58494285715,1542.4610285714286,62423.05662857143,33947.0,31211.528314285715,49938.445302857144,56.648812500000005,293.28445714285715,25639.926285714286,33947.0,9624.700711,12826.464079,17433.712459,23932.997908,32309.547208,43617.888731,59924.610904,82509.831559,110765.984199,150674.258729,20.0,33690.0
843368.13,947794.39,819664.65,918843.01,2021-07-10,0.002597,0.01,0.000879,0.01,0.00030007,0.01811033,-0.00055054,0.01117083,15387.0546,304803.6323,137679.5244,686485.485,73.87,26.13,2.827,69.65,30.35,2.295,49.63,50.37,0.985,0.89132598252,3093908,3224742,33705.0,79.87398672,78.841,14363025673660.0,187102,359242,85014,43047.3112,1.1401896676927454,33705,1.2724386997659278,-0.41449335357849115,1028,51082.61074835872,46200.89189189189,62560.59782857142,93840.89674285713,1542.4610285714286,62560.59782857142,33749.0,31280.29891428571,50048.47826285714,56.648812500000005,293.28445714285715,25639.926285714286,33749.0,9637.629581,12843.693881,17457.131182,23965.147128,32352.948655,43676.480684,60005.107694,82620.667098,110914.776256,150876.659611,20.0,32789.5
