t,o,h,l,c,v,c_oi,fundingRate,turnoverNumber,buyTurnoverNumber,sellTurnoverNumber,buyVolUsd,sellVolUsd,volUsd,puellMultiple,ma110,ma350Mu2,3LowBullHigh,2LowBullHigh,ma350,1.6AccumulationHigh,modelVariance,nextHalving,stockFlow365dAverage,RSI,MACD,MACD_Signal
2022-01-07 04:00:00,41789.97,41931.0,40900.0,41691.61,4025720286.9238,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8731298427602969,53967.63063063063,96395.64,144593.46,96395.64,48197.82,77116.512,-0.1791348855429646,847,49817.395125579234,23.689396124248702,-965.0230162321386,-646.2813301237802
2022-01-07 08:00:00,41699.41,42960.0,41601.96,42249.99,2611958318.1244,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8731298427602969,53967.63063063063,96395.64,144593.46,96395.64,48197.82,77116.512,-0.1791348855429646,847,49817.395125579234,23.51487260331359,-980.5966209588223,-713.1443882907887
2022-01-07 12:00:00,42250.0,42791.45,40456.56,41297.41,5457273523.0094,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8731298427602969,53967.63063063063,96395.64,144593.46,96395.64,48197.82,77116.512,-0.1791348855429646,847,49817.395125579234,20.995931862679328,-1057.6125606055502,-782.038022753741
2022-01-07 16:00:00,41297.14,42345.81,40900.0,41764.32,3293057821.9228,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8657229875930357,53917.97297297297,96450.64571428573,144675.96857142856,96450.64571428573,48225.322857142855,77160.51657142857,-0.1790723495153372,846,49808.29930459705,25.32696785550465,-1068.653737700799,-839.3611657431526
2022-01-07 20:00:00,41763.67,42056.36,41300.0,41553.86,1325136173.83,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8657229875930357,53917.97297297297,96450.64571428573,144675.96857142856,96450.64571428573,48225.322857142855,77160.51657142857,-0.1790723495153372,846,49808.29930459705,21.91975677410325,-1081.9146743115925,-887.8718674568406
2022-01-08 00:00:00,41553.87,42247.36,41553.86,41796.03,1384227987.9765,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8657229875930357,53917.97297297297,96450.64571428573,144675.96857142856,96450.64571428573,48225.322857142855,77160.51657142857,-0.1790723495153372,846,49808.29930459705,30.318966283834115,-1060.6563804959878,-922.4287700646701
2022-01-08 04:00:00,41796.03,41988.67,41711.35,41902.21,705798558.878,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8657229875930357,53917.97297297297,96450.64571428573,144675.96857142856,96450.64571428573,48225.322857142855,77160.51657142857,-0.1790723495153372,846,49808.29930459705,37.674961876642506,-1023.4435704638599,-942.6317301445081
2022-01-08 08:00:00,41902.21,42191.84,41747.64,41918.02,1369696916.9274,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8657229875930357,53917.97297297297,96450.64571428573,144675.96857142856,96450.64571428573,48225.322857142855,77160.51657142857,-0.1790723495153372,846,49808.29930459705,41.93500367666837,-981.3638637952245,-950.3781568746514
2022-01-08 12:00:00,41918.02,42040.23,41300.0,41600.72,1651198727.7451,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8657229875930357,53917.97297297297,96450.64571428573,144675.96857142856,96450.64571428573,48225.322857142855,77160.51657142857,-0.1790723495153372,846,49808.29930459705,35.22728929185732,-962.5234797808153,-952.8072214558842
2022-01-08 16:00:00,41600.72,41729.6,40500.0,40837.51,4115480439.2467,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8475311274539555,53908.72972972973,96506.17142857144,144759.25714285712,96506.17142857144,48253.08571428571,77204.93714285715,-0.1718545608224371,845,49864.52711126584,32.79999321378273,-997.6764156124846,-961.7810602872044
2022-01-08 20:00:00,40837.5,42335.0,40722.22,41688.05,2553354166.205,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8475311274539555,53908.72972972973,96506.17142857144,144759.25714285712,96506.17142857144,48253.08571428571,77204.93714285715,-0.1718545608224371,845,49864.52711126584,40.5456155624268,-945.9990130234874,-958.6246508344609
2022-01-09 00:00:00,41688.05,42168.0,41380.0,41835.6,1528404375.0987,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8475311274539555,53908.72972972973,96506.17142857144,144759.25714285712,96506.17142857144,48253.08571428571,77204.93714285715,-0.1718545608224371,845,49864.52711126584,37.607879644199926,-882.9600336386793,-943.4917273953047
2022-01-09 04:00:00,41835.6,42092.95,41666.0,41784.63,923086223.4729,118219.1,0.012107,4.0,4.0,0.0,3800.9793,0.0,3800.9793,0.8475311274539555,53908.72972972973,96506.17142857144,144759.25714285712,96506.17142857144,48253.08571428571,77204.93714285715,-0.1718545608224371,845,49864.52711126584,39.330462600857196,-827.5742801760643,-920.3082379514567
