Date,Bullish,Neutral,Bearish
7-24-87,36.0%,50.0%,14.0%
7-31-87,26.0%,48.0%,26.0%
8-7-87,56.0%,15.0%,29.0%
8-14-87,45.0%,35.0%,20.0%
8-21-87,66.0%,28.0%,6.0%
8-28-87,52.0%,18.0%,30.0%
9-4-87,42.0%,17.0%,41.0%
9-11-87,50.0%,23.0%,27.0%
9-18-87,60.0%,29.0%,11.0%
9-25-87,53.0%,17.0%,30.0%
10-2-87,44.0%,26.0%,30.0%
10-9-87,46.0%,39.0%,15.0%
10-16-87,37.0%,30.0%,33.0%
10-23-87,39.0%,30.0%,31.0%
10-30-87,44.0%,23.0%,33.0%
11-6-87,47.0%,31.0%,22.0%
11-13-87,31.0%,41.0%,28.0%
11-20-87,39.0%,42.0%,19.0%
11-27-87,27.0%,46.0%,27.0%
12-4-87,25.0%,33.0%,42.0%
12-11-87,23.0%,45.0%,32.0%
12-18-87,33.0%,40.0%,27.0%
12-24-87,28.0%,52.0%,20.0%
12-31-87,25.0%,49.0%,26.0%
1-8-88,34.0%,46.0%,20.0%
1-15-88,34.0%,40.0%,26.0%
1-22-88,21.0%,48.0%,31.0%
1-29-88,26.0%,45.0%,29.0%
2-5-88,32.0%,53.0%,15.0%
2-12-88,32.0%,46.0%,22.0%
2-19-88,27.0%,49.0%,24.0%
2-26-88,30.0%,51.0%,19.0%
3-4-88,38.0%,40.0%,22.0%
3-11-88,43.0%,40.0%,17.0%
3-18-88,41.0%,49.0%,10.0%
3-25-88,45.0%,38.0%,17.0%
4-1-88,35.0%,45.0%,20.0%
4-8-88,33.0%,48.0%,19.0%
4-15-88,23.0%,53.0%,24.0%
4-22-88,23.0%,57.0%,20.0%
4-29-88,22.0%,48.0%,30.0%
5-6-88,38.0%,42.0%,20.0%
5-13-88,19.0%,56.0%,25.0%
5-20-88,23.0%,52.0%,25.0%
5-27-88,28.0%,52.0%,20.0%
6-3-88,26.0%,62.0%,12.0%
6-10-88,28.0%,49.0%,23.0%
6-17-88,29.0%,50.0%,21.0%
6-24-88,33.0%,44.0%,23.0%
7-1-88,45.0%,38.0%,17.0%
7-8-88,35.0%,50.0%,15.0%
7-15-88,26.0%,37.0%,37.0%
7-22-88,16.0%,58.0%,26.0%
7-29-88,23.0%,54.0%,23.0%
8-5-88,21.0%,49.0%,30.0%
8-12-88,26.0%,48.0%,26.0%
8-19-88,19.0%,53.0%,28.0%
8-26-88,28.0%,40.0%,32.0%
9-2-88,18.0%,43.0%,39.0%
9-9-88,17.0%,52.0%,31.0%
9-16-88,24.0%,46.0%,30.0%
9-23-88,20.0%,53.0%,27.0%
9-30-88,26.0%,44.0%,30.0%
10-7-88,13.0%,49.0%,38.0%
10-14-88,22.0%,46.0%,32.0%
10-21-88,26.0%,51.0%,23.0%
10-28-88,40.0%,38.0%,22.0%
11-4-88,35.0%,46.0%,19.0%
11-11-88,23.0%,56.0%,21.0%
11-18-88,30.0%,34.0%,36.0%
11-25-88,17.0%,44.0%,39.0%
12-2-88,19.0%,47.0%,34.0%
12-9-88,17.0%,44.0%,39.0%
12-16-88,24.0%,54.0%,22.0%
12-23-88,22.0%,46.0%,32.0%
