,Date,High,Low,Close,Volume,VIX,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1990-01-29,327.3099975585937,321.7900085449219,325.20001220703125,150770000.0,26.440000534057617,5872.701,5.4,127.5,8.23,3170.4,16.508967311799537,-6.572252665650002,341.1460184045431,-11.79998779296875,363.83556847170314,318.8964322607187,324.7666727701823,322.2233479817709,319.2466837565105,316.7033589680991,327.74333699544275,330.28666178385413,333.26332600911456
20,1990-01-30,325.7300109863281,319.8299865722656,322.9800109863281,186030000.0,27.25,5872.701,5.4,127.5,8.23,3170.4,14.362889953731454,-6.9191758620925645,340.2082251594707,-17.769989013671875,361.6929700712283,317.36803151568574,322.84666951497394,319.96332804361975,316.94664510091144,314.06330362955725,325.86335245768225,328.74669392903644,331.76337687174475
21,1990-01-31,329.0799865722656,322.9800109863281,329.0799865722656,189660000.0,25.36000061035156,5872.701,5.4,127.5,8.23,3170.4,39.35664361881076,-7.120845339967598,339.651820564348,-8.32000732421875,358.7116266516597,317.3813726159184,327.0466613769531,325.0133361816406,320.9466857910156,318.9133605957031,331.1133117675781,333.1466369628906,337.2132873535156
22,1990-02-01,329.8599853515625,327.760009765625,328.7900085449219,154580000.0,24.8700008392334,5872.701,5.3,128.0,8.24,3170.5,38.73652462001957,-7.209297336940629,339.2265188411322,-9.399993896484375,355.9922193699649,317.41277940933196,328.80333455403644,327.7466837565104,326.70335896809894,325.6467081705729,329.8466593424479,330.90331013997394,331.9466349283854
23,1990-02-02,332.1000061035156,328.0899963378906,330.9200134277344,164400000.0,24.31999969482422,5872.701,5.3,128.0,8.24,3170.5,45.95398011120096,-7.171735579622924,338.89443880427564,-8.22998046875,353.6330336110908,317.64396529027636,330.37000528971356,328.6400044759115,326.35999552408856,324.6299947102865,332.6500142415365,334.38001505533856,336.6600240071615
24,1990-02-05,332.1600036621094,330.45001220703125,331.8500061035156,130950000.0,24.540000915527344,5872.701,5.3,128.0,8.24,3170.5,48.981960684070046,-7.025976565731462,338.67703853792716,1.470001220703125,350.4284201155186,318.65457854170796,331.48667399088544,330.8133443196615,329.7766825358073,329.10335286458337,332.5233357747396,333.19666544596356,334.23332722981775
25,1990-02-06,331.8599853515625,328.20001220703125,329.6600036621094,134070000.0,24.690000534057617,5872.701,5.3,128.0,8.24,3170.5,42.51054860933154,-6.838969124001443,338.4008574046127,-1.949981689453125,347.8735976302552,319.2134018814636,329.9066670735677,327.9533487955729,326.24669392903644,324.29337565104163,331.61332194010413,333.56664021809894,335.2732950846354
26,1990-02-07,333.760009765625,326.54998779296875,333.75,186710000.0,24.290000915527344,5872.701,5.3,128.0,8.24,3170.5,55.25071767088185,-6.555070309086119,338.2105924623224,3.489990234375,345.65326626109993,320.0777334947594,331.35333251953125,328.9466552734375,324.143310546875,321.73663330078125,336.15667724609375,338.5633544921875,343.36669921875
27,1990-02-08,336.0899963378906,332.0,332.9599914550781,176240000.0,23.770000457763672,5872.701,5.3,128.0,8.24,3170.5,52.65029118604815,-6.222988097298913,338.0153758213543,6.8800048828125,342.542562115912,321.63143690752554,333.68332926432294,331.27666219075525,329.5933329264323,327.1866658528646,335.36665852864587,337.77332560221356,339.4566548665365
28,1990-02-09,334.6000061035156,332.4100036621094,333.6199951171875,146910000.0,23.690000534057617,5872.701,5.3,128.0,8.24,3170.5,54.70531275977126,-5.853400342490117,337.88324755347224,7.82000732421875,341.59211146813067,321.95088779944746,333.5433349609375,332.4866638183594,331.35333251953125,330.2966613769531,334.6766662597656,335.73333740234375,336.8666687011719
29,1990-02-12,333.6199951171875,329.9700012207031,330.0799865722656,118390000.0,24.3799991607666,5872.701,5.3,128.0,8.24,3170.5,43.122608487157045,-5.52281692614656,337.6986849588134,4.879974365234375,340.9537467260916,321.8972511987131,331.22332763671875,328.82666015625,327.5733337402344,325.1766662597656,332.4766540527344,334.8733215332031,336.12664794921875
30,1990-02-13,331.6099853515625,327.9200134277344,331.0199890136719,144490000.0,23.76000022888184,5872.701,5.3,128.0,8.24,3170.5,46.58754724175901,-5.20642559558729,337.5113050265973,8.03997802734375,339.3960118699853,322.4819849561866,330.18332926432294,328.75667317708337,326.4933573404948,325.06670125325525,332.4466451009115,333.87330118815106,336.1366170247396
31,1990-02-14,333.20001220703125,330.6400146484375,332.010009765625,138530000.0,22.049999237060547,5872.701,5.3,128.0,8.24,3170.5,50.2692137003069,-4.887853645846894,337.3672014905414,2.930023193359375,338.58583967065255,322.7531587424334,331.95001220703125,330.70001220703125,329.3900146484375,328.1400146484375,333.260009765625,334.510009765625,335.82000732421875
32,1990-02-15,335.2099914550781,331.6099853515625,334.8900146484375,174620000.0,19.709999084472656,5872.701,5.3,128.0,8.24,3170.5,59.613304885790086,-4.52752579124879,337.28802241653483,6.100006103515625,337.87992709587206,323.12907253791695,333.90333048502606,332.596669514974,330.30332438151044,328.99666341145837,336.1966756184896,337.5033365885417,339.79668172200525
33,1990-02-16,335.6400146484375,332.4200134277344,332.7200012207031,166840000.0,20.780000686645508,5872.701,5.3,128.0,8.24,3170.5,51.2426335953683,-4.184217275733952,337.1526527249351,1.79998779296875,336.44873060467705,323.91726976153393,333.5933430989583,331.54667154947913,330.3733418782552,328.326670328776,334.76667277018225,336.81334431966144,337.9866739908854
34,1990-02-20,332.7200012207031,326.260009765625,327.989990234375,147300000.0,22.780000686645508,5872.701,5.3,128.0,8.24,3170.5,37.86901956769336,-3.93550083710414,336.9190375660957,-3.860015869140625,336.4041273032517,323.7228715981155,328.99000040690106,325.259999593099,322.53000895182294,318.80000813802087,331.7199910481771,335.4499918619792,338.17998250325525
