Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
2018-05-23,0.3668,0.4274,0.2057999999999999,34.5,33.7599983215332,33.970001220703125,405300.0,20580.912,3.8,250.792,1.7,13980.4,42.02885763281828,1.111405937760873,32.54883585541828,0.5,38.45500807273987,29.801992850416863,34.076666514078774,33.65333302815755,33.33666483561198,32.91333134969075,34.393334706624344,34.81666819254557,35.13333638509114
2018-05-24,0.3856,0.3627,0.2516,34.310001373291016,33.527000427246094,33.709999084472656,397100.0,20580.912,3.8,250.792,1.7,13980.4,40.14087938757661,1.0567834916954908,32.56561018916236,0.5799980163574219,38.364043174736274,30.14295774842046,33.84900029500326,33.3879992167155,33.065999348958336,32.60499827067058,34.17100016276042,34.63200124104818,34.95400110880534
2018-05-25,0.3856,0.3627,0.2516,33.869998931884766,33.220001220703125,33.599998474121094,256900.0,20580.912,3.8,250.792,1.7,13980.4,39.2795253059685,0.981454224151041,32.57518785846754,-0.7800025939941406,38.14274895736121,30.67225176743127,33.563332875569664,33.25666681925456,32.91333516438802,32.60666910807292,33.9066645304362,34.213330586751304,34.55666224161784
2018-05-29,0.3856,0.3627,0.2516,34.34000015258789,33.0,34.2400016784668,218100.0,20580.912,3.8,250.792,1.7,13980.4,46.92523607192508,0.9050691513713736,32.58817258824342,-2.2399978637695312,38.03340774246708,31.047593157801472,33.86000061035156,33.380001068115234,32.52000045776367,32.040000915527344,34.720001220703125,35.20000076293945,36.060001373291016
2018-05-30,0.3856,0.3627,0.2516,34.75,33.790000915527344,34.66999816894531,546100.0,20580.912,3.8,250.792,1.7,13980.4,51.64534147450106,0.8368240592554673,32.62805013563555,-2.2800025939941406,37.881962891287685,31.518037871651767,34.403333028157554,34.05666605631511,33.4433339436849,33.09666697184245,35.016665140787765,35.36333211263021,35.97666422526042
2018-05-31,0.3502,0.3863,0.2635,34.99800109863281,34.279998779296875,34.52000045776367,361000.0,20580.912,3.8,250.792,1.7,13980.4,49.86054668457118,0.7729580526408109,32.65170737856562,-2.680000305175781,37.83779571966365,31.73920508905217,34.59933344523112,34.20066579182942,33.88133112589518,33.482663472493485,34.91866811116536,35.317335764567055,35.6366704305013
2018-06-01,0.3502,0.3863,0.2635,35.0099983215332,34.0099983215332,34.529998779296875,414400.0,20580.912,4.0,251.018,1.82,14074.7,49.99346177793289,0.7135825232069457,32.678286489792704,-3.800003051757813,37.84155911097498,31.80944148411779,34.51666514078776,34.02333196004231,33.51666514078776,33.02333196004231,35.02333196004231,35.51666514078776,36.02333196004231
2018-06-04,0.3502,0.3863,0.2635,36.2599983215332,34.38999938964844,35.959999084472656,521200.0,20580.912,4.0,251.018,1.82,14074.7,65.2121990725675,0.6813225220117594,32.73567186872135,-0.8600006103515625,37.9549318491128,31.88306863916846,35.53666559855143,34.81333287556966,33.666666666666664,32.94333394368489,36.68333180745442,37.4066645304362,38.55333073933919
2018-06-05,0.3502,0.3863,0.2635,36.68000030517578,35.95000076293945,36.34999847412109,319400.0,20580.912,4.0,251.018,1.82,14074.7,68.2526309285615,0.672418471810654,32.77399222024414,1.1899986267089773,38.10419224162395,31.96980792622273,36.32666651407877,35.973332722981766,35.596666971842446,35.24333318074544,36.703332265218094,37.0566660563151,37.43333180745442
2018-06-06,0.3502,0.3863,0.2635,38.63999938964844,36.560001373291016,38.15999984741211,307200.0,20580.912,4.0,251.018,1.82,14074.7,78.37412889141673,0.7059651813114832,32.82836094138745,3.84000015258789,38.5003533240449,32.09464675224904,37.78666687011719,36.93333435058594,35.706668853759766,34.85333633422852,39.01333236694336,39.86666488647461,41.09333038330078
