,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,1990-01-26,8.958333015441895,8.458333015441895,8.833333015441895,4777800.0,5872.701,5.4,127.5,8.23,3170.4,8.369709772646885,-0.1426814393148429,9.624173732056276,-1.0000000000000018,10.7274668972107,8.818366404333489,8.74999968210856,8.541666348775227,8.24999968210856,8.041666348775227,9.041666348775227,9.24999968210856,9.541666348775227
20,1990-01-29,8.791666984558105,8.541666984558105,8.625,1417800.0,5872.701,5.4,127.5,8.23,3170.4,6.5579327427131915,-0.17457270195360097,9.570599401634588,-1.2083330154418963,10.784502375883271,8.62799762411673,8.652777989705404,8.513888994852703,8.402777989705404,8.263888994852703,8.763888994852703,8.902777989705404,9.013888994852703
21,1990-01-30,8.5,8.333333015441895,8.416666984558105,1292700.0,5872.701,5.4,127.5,8.23,3170.4,5.247306909972096,-0.20944390608736219,9.516815791194539,-1.3749999999999982,10.838769603850116,8.415397094605696,8.416666666666666,8.333333333333332,8.24999968210856,8.166666348775227,8.500000317891438,8.583333651224772,8.666667302449543
22,1990-01-31,8.625,8.333333015441895,8.583333015441895,1134300.0,5872.701,5.4,127.5,8.23,3170.4,20.00480014852208,-0.24121844946619533,9.480138438001484,-1.1666669845581055,10.788698671664502,8.29046802679131,8.513888676961264,8.402777353922527,8.222221692403158,8.111110369364422,8.694444338480633,8.805555661519369,8.986111323038738
23,1990-02-01,8.75,8.583333015441895,8.666666984558105,1519200.0,5872.701,5.3,128.0,8.24,3170.5,26.60016736632673,-0.26750706136104446,9.43947088836688,-0.9999999999999982,10.696364672869803,8.211968724041819,8.666666666666666,8.583333333333332,8.49999968210856,8.416666348775227,8.750000317891438,8.833333651224772,8.916667302449543
24,1990-02-02,8.833333015441895,8.583333015441895,8.708333015441895,1077900.0,5872.701,5.3,128.0,8.24,3170.5,29.93287577622705,-0.28770464531464024,9.414425331416423,-0.9166669845581055,10.566419308611378,8.171080691388623,8.708333015441895,8.583333015441895,8.458333015441895,8.333333015441895,8.833333015441895,8.958333015441895,9.083333015441895
25,1990-02-05,8.75,8.625,8.666666984558105,604800.0,5872.701,5.3,128.0,8.24,3170.5,28.442753875399134,-0.30303472033625783,9.400324073958645,-0.6666660308837908,10.410303770086633,8.152196229913367,8.680555661519369,8.611111323038738,8.555555661519369,8.486111323038738,8.736111323038738,8.805555661519369,8.861111323038738
26,1990-02-06,8.708333015441895,8.541666984558105,8.625,711600.0,5872.701,5.3,128.0,8.24,3170.5,26.897690851801542,-0.3144844021721872,9.383494498357141,-0.4583330154418963,10.307243011186255,8.109423687269555,8.625,8.541666984558105,8.458333969116211,8.375000953674316,8.708333015441895,8.791666030883789,8.874999046325684
27,1990-02-07,8.75,8.5,8.666666984558105,694500.0,5872.701,5.3,128.0,8.24,3170.5,31.209419645568914,-0.32152017152408335,9.36862362441171,-0.45833301544189453,10.18995048978127,8.089216208674541,8.638888994852701,8.527777989705402,8.388888994852701,8.277777989705402,8.777777989705402,8.888888994852701,9.027777989705402
28,1990-02-08,8.833333015441895,8.666666984558105,8.666666984558105,893400.0,5872.701,5.3,128.0,8.24,3170.5,31.209419645568914,-0.32468774987945104,9.350377616560683,-0.3749999999999982,10.080467494477547,8.073699203978263,8.722222328186035,8.611111640930176,8.555556297302246,8.444445610046387,8.777777671813965,8.888888359069824,8.944443702697754
