Trial 36 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 419, 'max_depth': 155, 'min_samples_split': 134, 'min_samples_leaf': 46, 'criterion': 'entropy'}.
Trial 37 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 371, 'max_depth': 55, 'min_samples_split': 172, 'min_samples_leaf': 33, 'criterion': 'gini'}.
Trial 38 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 282, 'max_depth': 28, 'min_samples_split': 119, 'min_samples_leaf': 38, 'criterion': 'entropy'}.
Trial 39 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 293, 'max_depth': 26, 'min_samples_split': 110, 'min_samples_leaf': 39, 'criterion': 'entropy'}.
Trial 40 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 277, 'max_depth': 23, 'min_samples_split': 78, 'min_samples_leaf': 30, 'criterion': 'entropy'}.
Trial 41 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 446, 'max_depth': 44, 'min_samples_split': 117, 'min_samples_leaf': 43, 'criterion': 'entropy'}.
Trial 42 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 342, 'max_depth': 72, 'min_samples_split': 129, 'min_samples_leaf': 47, 'criterion': 'entropy'}.
Trial 43 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 393, 'max_depth': 65, 'min_samples_split': 145, 'min_samples_leaf': 33, 'criterion': 'entropy'}.
Trial 44 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 256, 'max_depth': 17, 'min_samples_split': 159, 'min_samples_leaf': 38, 'criterion': 'entropy'}.
Trial 45 finished with value: 0.6304347826086957 and parameters: {'n_estimators': 210, 'max_depth': 143, 'min_samples_split': 193, 'min_samples_leaf': 1, 'criterion': 'entropy'}.
Trial 46 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 303, 'max_depth': 85, 'min_samples_split': 121, 'min_samples_leaf': 41, 'criterion': 'entropy'}.
Trial 47 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 305, 'max_depth': 114, 'min_samples_split': 33, 'min_samples_leaf': 42, 'criterion': 'gini'}.
Trial 48 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 284, 'max_depth': 94, 'min_samples_split': 100, 'min_samples_leaf': 35, 'criterion': 'entropy'}.
Trial 49 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 248, 'max_depth': 81, 'min_samples_split': 120, 'min_samples_leaf': 41, 'criterion': 'entropy'}.
Trial 38 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 282, 'max_depth': 28, 'min_samples_split': 119, 'min_samples_leaf': 38, 'criterion': 'entropy'}.
Trial 2 finished with value: 0.6304347826086957 and parameters: {'n_estimators': 159, 'max_depth': 96, 'min_samples_split': 74, 'min_samples_leaf': 17, 'criterion': 'gini'}.
Trial 3 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 166, 'max_depth': 38, 'min_samples_split': 166, 'min_samples_leaf': 65, 'criterion': 'entropy'}.
